Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price,Season
2012,Siruguppa,12.97,639.3,36.8,Red soil,Rainfed,22.88,57.0,Onion,5935072.0,Rabi
2017,Gangavathi,19.28,701.2,30.3,Sandy loam,Borewell,1.08,58.1,Jowar,291513.6,Kharif
2016,Siruguppa,2.61,593.8,26.5,Red soil,Canal,0.84,43.2,Sunflower,76734.0,Zaid
2022,Vijaypur,11.15,709.7,34.7,Black soil,Sprinkler,20.22,44.9,Grapes,9018120.0,Whole year
2015,Sindhanur,6.71,549.8,36.2,Black soil,Canal,1.39,51.7,Bengalgram,419710.5,Rabi
2021,Sindhanur,2.32,838.3,33.3,Alluvial soil,Drip,72.35,61.5,Sugarcane,503556.0,Whole year
2021,Siruguppa,6.96,758.1,30.8,Red soil,Rainfed,83.03,28.8,Sugarcane,1733666.4,Whole year
2015,Gangavathi,16.88,641.0,25.6,Black soil,Canal,2.89,57.7,Corn,682964.8,Zaid
2012,Siruguppa,4.39,629.4,34.0,Red soil,Well,79.91,50.1,Sugarcane,1052414.7,Whole year
2011,Gangavathi,10.04,842.1,30.0,Sandy loam,Borewell,1.32,49.1,Cotton,530112.0,Kharif
2013,Vijaypur,5.63,692.2,32.7,Red soil,Rainfed,2.91,48.5,Wheat,262132.8,Rabi
2022,Gangavathi,7.2,781.0,35.7,Sandy loam,Drip,0.86,41.9,Bajra,80496.0,Kharif
2017,Sindhanur,17.4,898.2,32.0,Red soil,Well,2.86,61.5,Maize,696696.0,Kharif
2012,Gangavathi,18.06,856.2,36.8,Sandy loam,Sprinkler,1.07,53.2,Sunflower,676347.0,Kharif
2011,Siruguppa,4.26,885.6,28.9,Red soil,Rainfed,84.16,46.0,Sugarcane,1075564.8,Whole year
2016,Vijaypur,18.33,676.9,31.7,Black soil,Well,1.1,55.3,Jowar,282282.0,Rabi
2011,Vijaypur,14.16,584.6,39.7,Sandy soil,Sprinkler,20.54,30.9,Vegetables,4362696.0,Zaid
2022,Vijaypur,2.45,578.9,36.4,Black soil,Well,0.97,57.0,Jowar,33271.0,Rabi
2016,Gangavathi,9.72,653.2,35.3,Black soil,Borewell,2.78,59.3,Corn,378302.4,Zaid
2024,Sindhanur,1.46,693.2,37.4,Red soil,Borewell,85.58,65.2,Sugarcane,374840.4,Whole year
2023,Gangavathi,10.09,831.1,30.9,Sandy loam,Canal,1.27,50.1,Groundnut,384429.0,Kharif
2013,Sindhanur,5.75,983.0,32.3,Red soil,Canal,1.35,67.6,Bengalgram,349312.5,Rabi
2011,Vijaypur,16.51,664.7,38.9,Sandy soil,Borewell,0.81,57.5,Safflower,401193.0,Rabi
2013,Gangavathi,3.89,844.6,32.6,Black soil,Canal,83.01,54.5,Sugarcane,968726.7,Whole year
2020,Siruguppa,16.56,827.9,35.9,Sandy loam,Rainfed,74.15,39.9,Sugarcane,3683772.0,Whole year
2015,Siruguppa,17.47,643.5,33.3,Sandy loam,Drip,2.95,42.8,Maize,721511.0,Kharif
2022,Gangavathi,8.04,800.5,34.8,Black soil,Sprinkler,0.69,49.4,Horsegram,194166.0,Rabi
2017,Sindhanur,10.51,672.2,30.0,Alluvial soil,Canal,0.98,61.8,Sunflower,360493.0,Rabi
2016,Sindhanur,18.89,893.8,30.0,Alluvial soil,Borewell,1.07,54.4,Sunflower,707430.5,Rabi
2010,Vijaypur,16.57,475.2,33.7,Red soil,Well,18.5,52.1,Vegetables,4598175.0,Zaid
2014,Gangavathi,5.89,790.0,32.5,Red soil,Borewell,3.26,55.2,Corn,268819.6,Zaid
2020,Gangavathi,17.22,783.1,29.5,Sandy loam,Drip,3.05,36.4,Wheat,840336.0,Rabi
2019,Gangavathi,8.66,787.0,39.9,Red soil,Canal,1.48,49.8,Bengalgram,576756.0,Rabi
2023,Sindhanur,18.84,800.0,35.2,Red soil,Borewell,17.83,51.7,Vegetables,5038758.0,Zaid
2020,Sindhanur,16.26,600.8,29.8,Black soil,Borewell,1.24,48.9,Bengalgram,907308.0,Rabi
2019,Siruguppa,17.79,598.2,37.3,Black soil,Borewell,0.88,45.8,Sunflower,547932.0,Rabi
2024,Gangavathi,18.91,715.0,36.7,Black soil,Drip,79.25,59.5,Sugarcane,4495852.5,Whole year
2015,Sindhanur,17.16,711.1,30.3,Black soil,Well,1.19,40.3,Cotton,816816.0,Kharif
2015,Vijaypur,10.01,503.3,38.5,Sandy soil,Borewell,21.01,52.2,Grapes,8412404.0,Whole year
2012,Siruguppa,15.41,628.1,34.1,Black soil,Canal,1.02,34.8,Bajra,204336.6,Kharif
2010,Vijaypur,10.91,575.4,33.8,Sandy soil,Rainfed,13.4,37.8,Pomegranate,7309700.0,Whole year
2012,Gangavathi,14.02,790.6,35.2,Red soil,Borewell,1.34,53.5,Bengalgram,845406.0,Rabi
2019,Siruguppa,6.17,591.0,36.6,Sandy loam,Drip,91.54,45.7,Sugarcane,1694405.4,Whole year
2013,Gangavathi,4.17,658.9,37.1,Red soil,Canal,84.36,50.8,Sugarcane,1055343.6,Whole year
2016,Sindhanur,7.65,834.6,35.2,Alluvial soil,Canal,2.96,47.9,Paddy,339660.0,Rabi
2016,Gangavathi,13.95,811.2,33.7,Red soil,Drip,3.32,40.0,Paddy,694710.0,Kharif
2020,Siruguppa,0.68,743.4,28.4,Black soil,Canal,1.03,55.2,Groundnut,21012.0,Zaid
2017,Gangavathi,2.8,853.3,26.6,Black soil,Canal,1.15,67.1,Sunflower,112700.0,Rabi
2018,Sindhanur,8.49,894.2,39.5,Black soil,Canal,1.42,47.9,Bengalgram,542511.0,Rabi
2012,Vijaypur,18.18,537.5,29.4,Sandy soil,Sprinkler,0.76,54.8,Safflower,414504.0,Rabi
2017,Siruguppa,9.41,767.0,37.0,Black soil,Borewell,1.15,49.0,Cotton,432860.0,Kharif
2021,Siruguppa,16.13,566.9,26.1,Black soil,Rainfed,1.53,38.9,Chilli,1480734.0,Kharif
2015,Siruguppa,13.44,792.6,25.7,Red soil,Borewell,1.55,51.9,Chilli,1249920.0,Kharif
2023,Vijaypur,8.3,565.9,33.6,Red soil,Rainfed,0.9,32.0,Sunflower,261450.0,Zaid
2011,Vijaypur,14.08,636.5,37.7,Black soil,Borewell,14.37,34.3,Pomegranate,10116480.0,Whole year
2017,Vijaypur,1.06,488.0,32.9,Sandy soil,Borewell,15.8,40.1,Pomegranate,837400.0,Whole year
2020,Vijaypur,0.74,537.7,28.7,Sandy soil,Borewell,0.71,50.8,Greengram,28897.0,Kharif
2023,Gangavathi,13.69,765.5,30.3,Red soil,Well,1.09,49.6,Sunflower,522273.5,Kharif
2022,Siruguppa,10.17,858.8,30.4,Red soil,Canal,1.2,51.7,Cotton,488160.0,Kharif
2023,Vijaypur,11.23,510.2,31.7,Red soil,Sprinkler,0.97,46.8,Sunflower,381258.5,Zaid
2017,Sindhanur,10.22,717.1,35.0,Red soil,Canal,2.67,38.9,Maize,382023.6,Kharif
2020,Siruguppa,2.27,637.8,33.0,Sandy loam,Drip,1.03,34.9,Bajra,30395.3,Kharif
2018,Gangavathi,4.85,905.9,30.2,Red soil,Borewell,0.84,39.2,Sunflower,142590.0,Rabi
2018,Vijaypur,7.16,462.9,37.2,Sandy soil,Rainfed,18.25,36.8,Vegetables,1960050.0,Zaid
2014,Gangavathi,14.98,877.8,32.5,Red soil,Canal,3.4,63.6,Paddy,763980.0,Kharif
2011,Sindhanur,15.74,923.8,31.4,Alluvial soil,Borewell,2.83,44.9,Paddy,668163.0,Rabi
2017,Vijaypur,9.28,711.2,34.0,Sandy soil,Borewell,1.24,50.1,Groundnut,345216.0,Kharif
2012,Siruguppa,10.41,915.3,36.1,Red soil,Drip,1.36,47.3,Groundnut,424728.0,Kharif
2014,Sindhanur,17.69,840.5,34.4,Red soil,Well,2.96,47.3,Maize,733073.6,Kharif
2023,Vijaypur,14.15,539.4,29.8,Sandy soil,Rainfed,17.39,47.3,Vegetables,3691027.5,Zaid
2018,Gangavathi,18.46,618.4,35.1,Black soil,Well,3.07,55.9,Wheat,906755.2,Rabi
2014,Gangavathi,14.35,745.2,33.5,Sandy loam,Sprinkler,1.39,77.9,Groundnut,598395.0,Kharif
2014,Vijaypur,1.6,422.2,32.7,Red soil,Borewell,0.93,35.0,Redgram,81840.0,Kharif
2019,Gangavathi,1.13,762.9,30.5,Red soil,Canal,1.41,60.6,Bengalgram,71698.5,Rabi
2016,Sindhanur,14.01,776.0,37.0,Black soil,Drip,90.49,64.7,Sugarcane,3803294.7,Whole year
2024,Vijaypur,15.73,421.6,31.6,Red soil,Borewell,0.91,46.1,Sunflower,501000.5,Zaid
2011,Gangavathi,4.15,673.6,28.1,Black soil,Sprinkler,2.86,59.3,Wheat,189904.0,Rabi
2017,Vijaypur,17.0,506.2,32.9,Black soil,Rainfed,0.7,31.6,Greengram,654500.0,Kharif
2017,Sindhanur,12.69,949.7,34.7,Alluvial soil,Borewell,3.21,64.6,Paddy,611023.5,Kharif
2018,Gangavathi,15.83,742.5,38.3,Black soil,Drip,1.19,58.6,Groundnut,565131.0,Kharif
2018,Vijaypur,7.54,529.2,31.2,Black soil,Sprinkler,3.03,40.9,Maize,319846.8,Kharif
2020,Siruguppa,18.41,631.3,29.1,Red soil,Canal,1.22,53.4,Cotton,898408.0,Kharif
2022,Gangavathi,18.27,711.4,32.3,Red soil,Sprinkler,80.94,51.9,Sugarcane,4436321.4,Whole year
2022,Vijaypur,2.11,501.4,35.0,Black soil,Borewell,21.84,37.8,Grapes,1843296.0,Whole year
2018,Siruguppa,8.77,767.7,34.6,Red soil,Well,3.27,59.4,Maize,401490.6,Kharif
2012,Vijaypur,1.24,651.0,28.1,Black soil,Well,1.28,50.4,Groundnut,47616.0,Kharif
2016,Gangavathi,8.39,850.4,32.4,Red soil,Canal,1.06,52.6,Jowar,124507.6,Kharif
2024,Siruguppa,1.39,818.5,27.5,Red soil,Borewell,1.32,56.1,Cotton,73392.0,Kharif
2017,Siruguppa,9.03,620.1,26.4,Black soil,Canal,18.51,58.9,Vegetables,2507179.5,Zaid
2014,Sindhanur,6.25,872.5,37.0,Alluvial soil,Well,2.75,66.1,Paddy,257812.5,Rabi
2013,Gangavathi,10.97,588.0,26.5,Black soil,Borewell,1.03,56.5,Bajra,146888.3,Kharif
2013,Gangavathi,4.09,840.1,37.2,Sandy loam,Borewell,1.09,50.1,Sunflower,156033.5,Rabi
2011,Siruguppa,19.89,827.3,36.6,Black soil,Drip,23.25,63.5,Onion,9248850.0,Rabi
2011,Gangavathi,6.95,594.2,35.9,Black soil,Well,0.94,57.9,Tur,326650.0,Kharif
2019,Gangavathi,6.46,656.4,32.3,Sandy loam,Well,1.14,64.2,Jowar,103101.6,Kharif
2014,Gangavathi,14.39,589.5,30.8,Sandy loam,Drip,2.97,63.2,Corn,598336.2,Zaid
2012,Gangavathi,6.46,874.2,31.6,Sandy loam,Canal,0.38,50.5,Horsegram,85918.0,Rabi
2024,Siruguppa,12.72,860.3,28.9,Sandy loam,Canal,0.93,55.7,Sunflower,414036.0,Zaid
2018,Siruguppa,18.17,727.6,31.4,Sandy loam,Borewell,1.55,54.5,Chilli,1689810.0,Kharif
2018,Vijaypur,17.21,559.1,39.2,Black soil,Sprinkler,2.8,50.1,Wheat,771008.0,Rabi
2022,Siruguppa,16.23,737.6,33.8,Sandy loam,Well,82.06,59.4,Sugarcane,3995501.4,Whole year
2015,Sindhanur,19.37,615.6,39.9,Alluvial soil,Drip,79.89,54.9,Sugarcane,4642407.9,Whole year
2016,Siruguppa,13.54,571.3,29.8,Sandy loam,Borewell,1.09,47.2,Groundnut,442758.0,Rabi
2023,Vijaypur,19.38,410.6,36.5,Sandy soil,Rainfed,19.85,36.6,Grapes,15387720.0,Whole year
2016,Gangavathi,16.79,783.6,31.4,Sandy loam,Borewell,0.91,61.1,Sunflower,534761.5,Rabi
2017,Sindhanur,17.8,896.9,29.6,Black soil,Well,81.06,65.8,Sugarcane,4328604.0,Whole year
2020,Sindhanur,3.57,719.2,31.0,Alluvial soil,Canal,2.86,48.6,Paddy,153153.0,Rabi
2010,Sindhanur,4.61,857.2,34.4,Black soil,Drip,79.23,58.3,Sugarcane,1095750.9,Whole year
2010,Sindhanur,1.26,794.2,29.1,Alluvial soil,Well,3.57,54.1,Paddy,67473.0,Kharif
2011,Sindhanur,12.93,739.8,33.8,Alluvial soil,Borewell,17.69,68.5,Vegetables,3430975.5,Zaid
2019,Sindhanur,12.22,908.0,29.2,Alluvial soil,Well,80.69,70.0,Sugarcane,2958095.4,Whole year
2010,Gangavathi,7.88,876.7,33.2,Black soil,Canal,0.54,38.1,Horsegram,148932.0,Rabi
2011,Sindhanur,12.2,791.5,29.0,Alluvial soil,Canal,76.57,65.0,Sugarcane,2802462.0,Whole year
2015,Vijaypur,13.73,587.1,27.0,Red soil,Sprinkler,22.54,60.4,Onion,6189484.0,Rabi
2011,Siruguppa,7.34,846.2,31.6,Sandy loam,Drip,80.46,55.8,Sugarcane,1771729.2,Whole year
2014,Vijaypur,6.02,593.8,29.7,Sandy soil,Sprinkler,3.07,56.1,Wheat,295702.4,Rabi
2021,Sindhanur,10.64,860.9,27.2,Red soil,Well,1.18,53.4,Cotton,502208.0,Kharif
2019,Gangavathi,5.6,571.4,32.3,Sandy loam,Drip,78.21,57.6,Sugarcane,1313928.0,Whole year
2018,Gangavathi,9.91,813.0,30.9,Red soil,Sprinkler,3.4,59.0,Corn,471716.0,Zaid
2021,Vijaypur,3.19,570.5,38.3,Sandy soil,Well,15.73,43.5,Vegetables,752680.5,Zaid
2012,Sindhanur,16.12,608.0,33.3,Alluvial soil,Canal,71.15,64.0,Sugarcane,3440814.0,Whole year
2013,Vijaypur,8.99,449.8,29.7,Black soil,Rainfed,1.16,55.1,Sunflower,364994.0,Kharif
2010,Gangavathi,13.3,789.2,38.0,Red soil,Sprinkler,2.8,49.1,Paddy,558600.0,Kharif
2022,Sindhanur,10.6,555.8,37.9,Black soil,Canal,79.26,66.0,Sugarcane,2520468.0,Whole year
2015,Sindhanur,3.57,573.3,29.3,Red soil,Drip,1.02,44.2,Sunflower,127449.0,Rabi
2015,Vijaypur,2.26,581.6,38.1,Red soil,Rainfed,19.86,32.8,Grapes,1795344.0,Whole year
2018,Gangavathi,3.91,714.9,30.8,Sandy loam,Canal,3.2,41.2,Wheat,200192.0,Rabi
2021,Siruguppa,17.58,881.0,35.6,Sandy loam,Borewell,0.99,63.1,Groundnut,522126.0,Zaid
2017,Vijaypur,9.45,631.9,37.5,Red soil,Well,14.87,59.1,Pomegranate,7026075.0,Whole year
2015,Siruguppa,14.17,632.5,36.3,Black soil,Rainfed,0.92,39.0,Sunflower,456274.0,Zaid
2017,Siruguppa,7.17,623.5,30.3,Sandy loam,Well,1.0,62.8,Sunflower,250950.0,Zaid
2021,Gangavathi,13.82,881.4,30.2,Black soil,Drip,16.5,66.4,Vegetables,3420450.0,Zaid
2012,Sindhanur,16.78,641.8,30.7,Alluvial soil,Borewell,1.14,47.7,Sunflower,669522.0,Rabi
2023,Siruguppa,15.4,786.5,34.5,Sandy loam,Canal,3.07,48.2,Paddy,709170.0,Kharif
2022,Vijaypur,17.44,539.1,41.5,Red soil,Borewell,19.64,60.3,Vegetables,5137824.0,Zaid
2018,Gangavathi,8.75,804.3,26.9,Sandy loam,Canal,73.89,55.1,Sugarcane,1939612.5,Whole year
2020,Gangavathi,6.66,725.6,28.5,Black soil,Canal,78.28,59.7,Sugarcane,1564034.4,Whole year
2017,Sindhanur,11.2,676.0,33.8,Black soil,Borewell,76.85,45.4,Sugarcane,2582160.0,Whole year
2017,Gangavathi,7.76,756.9,27.9,Red soil,Borewell,19.22,59.2,Vegetables,2237208.0,Zaid
2023,Sindhanur,16.18,830.0,37.0,Alluvial soil,Drip,1.0,62.9,Sunflower,566300.0,Rabi
2012,Vijaypur,0.69,679.7,38.0,Red soil,Sprinkler,1.05,44.2,Jowar,10143.0,Rabi
2013,Gangavathi,2.43,635.6,37.1,Black soil,Canal,77.56,40.3,Sugarcane,565412.4,Whole year
2010,Gangavathi,11.43,739.4,30.7,Red soil,Borewell,78.55,49.9,Sugarcane,2693479.5,Whole year
2022,Vijaypur,11.73,696.9,41.3,Sandy soil,Borewell,2.94,37.1,Maize,482806.8,Kharif
2014,Gangavathi,17.85,794.6,31.2,Red soil,Sprinkler,2.98,58.7,Corn,744702.0,Zaid
2011,Vijaypur,12.44,627.1,41.3,Red soil,Well,0.98,49.3,Jowar,170676.8,Rabi
2024,Sindhanur,12.31,685.4,34.2,Red soil,Borewell,18.8,59.7,Vegetables,3471420.0,Zaid
2021,Vijaypur,14.69,532.5,30.3,Sandy soil,Rainfed,17.01,29.3,Vegetables,3748153.5,Zaid
2022,Siruguppa,9.73,673.8,26.4,Red soil,Canal,1.2,63.8,Bengalgram,525420.0,Rabi
2013,Vijaypur,17.77,473.5,28.2,Red soil,Borewell,1.21,48.8,Bajra,279522.1,Kharif
2017,Gangavathi,13.44,635.1,36.0,Red soil,Drip,86.17,42.3,Sugarcane,3474374.4,Whole year
2016,Gangavathi,12.15,887.2,36.9,Sandy loam,Sprinkler,77.39,40.8,Sugarcane,2820865.5,Whole year
2014,Gangavathi,7.63,748.2,37.2,Red soil,Well,3.05,53.5,Corn,325801.0,Zaid
2022,Siruguppa,9.65,818.3,36.4,Red soil,Rainfed,1.33,44.3,Groundnut,385035.0,Kharif
2013,Vijaypur,16.04,660.7,38.6,Sandy soil,Rainfed,0.96,47.8,Sunflower,538944.0,Zaid
2011,Vijaypur,16.65,486.4,36.1,Black soil,Rainfed,16.18,53.2,Pomegranate,13469850.0,Whole year
2016,Vijaypur,13.85,654.5,39.4,Red soil,Rainfed,23.41,58.4,Onion,6484570.0,Rabi
2013,Sindhanur,9.33,667.4,29.2,Alluvial soil,Drip,2.72,54.3,Paddy,380664.0,Kharif
2021,Gangavathi,2.49,573.1,33.3,Red soil,Well,0.99,47.5,Bajra,32046.3,Kharif
2017,Vijaypur,8.69,433.4,28.1,Red soil,Rainfed,1.26,36.1,Jowar,153291.6,Kharif
2017,Siruguppa,15.63,860.1,37.8,Red soil,Drip,0.88,27.9,Sunflower,481404.0,Zaid
2022,Sindhanur,15.48,880.8,37.8,Black soil,Drip,1.37,42.5,Bengalgram,954342.0,Rabi
2016,Vijaypur,13.49,488.7,37.0,Black soil,Sprinkler,1.51,34.0,Bengalgram,916645.5,Rabi
2020,Gangavathi,10.66,742.6,26.1,Red soil,Drip,16.78,70.7,Vegetables,2683122.0,Zaid
2015,Gangavathi,2.7,870.9,37.7,Sandy loam,Drip,0.7,48.1,Horsegram,66150.0,Rabi
2021,Siruguppa,19.39,742.5,31.3,Sandy loam,Rainfed,0.94,44.6,Sunflower,637931.0,Rabi
2010,Sindhanur,7.1,663.7,33.7,Alluvial soil,Canal,19.5,63.8,Vegetables,2076750.0,Zaid
2021,Gangavathi,15.88,576.4,28.9,Red soil,Drip,1.4,67.2,Bengalgram,1000440.0,Rabi
